City,Country,Latitude,Longitude,Temperature (F),Cloudiness (%),Humidity (%),Wind Speed (MPH)
Aykhal,RU,66.0,111.5,24.8,89,73,8.95
Kotelnikowo,RU,47.63,43.15,41.7,3,66,10.83
Mehamn,NO,71.04,27.85,20.98,85,92,4.47
Ankazoabo,MG,-22.28,44.52,72.57,100,62,4.36
Harindānga,IN,22.04,88.32,75.2,20,69,3.36
Ha Giang,VN,22.83,104.98,70.36,92,76,3.85
Gravdal,NO,68.12,13.5,35.2,100,80,8.57
Hervey Bay,AU,-25.3,152.85,67.08,40,72,6.73
Mahajanga,MG,-15.72,46.32,78.17,27,74,9.82
Baykit,RU,61.67,96.37,23.05,47,93,3.06
Chokurdakh,RU,70.63,147.92,27.21,99,98,13.85
Dingle,PH,11.0,122.67,76.33,10,78,5.44
Halmstad,SE,56.67,12.86,46.53,100,70,8.05
Nantucket,US,41.28,-70.1,50.83,1,49,23.04
Faanui,PF,-16.48,-151.75,82.6,56,77,12.66
Cranbrook,CA,49.5,-115.77,35.6,75,34,2.24
Žitište,RS,45.48,20.55,51.22,0,43,3.36
San Roque,ES,36.21,-5.38,62.35,100,82,23.04
Ayagoz,KZ,47.97,80.44,34.54,0,64,7.67
Puerto Ayora,EC,-0.74,-90.35,81.57,40,70,6.93
Provideniya,RU,64.38,-173.3,31.89,100,94,4.63
Bethel,US,41.37,-73.41,51.55,20,25,8.05
Constitución,CL,-35.33,-72.42,60.35,60,65,13.62
Gaza,PS,31.5,34.47,54.39,20,82,4.7
Mossamedes,AO,-15.2,12.15,77.59,0,61,3.62
Japura,ID,-0.32,102.35,72.84,87,94,0.85
Sioux Lookout,CA,50.1,-91.92,33.8,90,69,12.75
Galveston,US,29.37,-94.97,75.33,90,69,11.41
Valuyki,RU,50.2,38.11,38.7,100,73,12.3
Niagara Falls,CA,43.1,-79.07,44.6,75,52,19.46
Fukuechō,JP,32.69,128.84,55.02,100,88,19.73
Srednekolymsk,RU,67.45,153.68,21.49,90,96,11.16
Eyl,SO,7.98,49.82,82.8,7,73,11.39
Bambanglipuro,ID,-7.95,110.28,77.74,93,79,2.37
Pacific Grove,US,36.62,-121.92,59.34,90,67,8.05
Mayumba,GA,-3.43,10.66,78.85,98,85,10.18
Premià de Mar,ES,41.49,2.37,57.13,9,66,4.7
Mumford,GH,5.26,-0.76,81.43,77,83,6.08
Viedma,AR,-40.81,-63.0,62.69,100,40,13.24
Acapulco de Juárez,MX,16.86,-99.89,84.2,40,74,9.17
Asău,RO,46.43,26.4,44.33,59,48,2.24
Sechura,PE,-5.56,-80.82,80.06,36,62,12.86
Hay River,CA,60.82,-115.8,17.6,40,57,8.05
Mudhol,IN,16.35,75.28,73.51,0,44,4.05
Narsaq,GL,60.92,-46.05,44.6,100,36,39.15
Hals,DK,57.0,10.31,46.17,100,79,5.01
Castro,BR,-24.79,-50.01,60.94,13,66,2.33
Vidoši,BA,43.77,17.03,62.6,12,39,5.82
Altay,CN,47.87,88.12,43.41,100,40,3.69
Roela,EE,59.17,26.59,32.04,58,90,5.82
Yugorsk,RU,61.31,63.33,35.08,100,92,4.05
Hornepayne,CA,49.21,-84.77,36.81,100,76,14.03
Laizhou,CN,37.18,119.93,44.92,0,56,6.17
Erzin,TR,36.96,36.2,60.24,0,72,8.05
Nicoya,CR,10.15,-85.45,96.8,40,39,16.11
Kamiiso,JP,41.82,140.65,36.25,100,87,9.1
Zemio,CF,5.03,25.14,71.58,100,80,0.98
Askarovo,RU,53.34,58.51,35.6,40,100,6.71
Saint-Pierre,RE,-21.34,55.48,69.53,27,73,5.82
Aljezur,PT,37.32,-8.8,62.01,26,82,9.17
Deputatsky,RU,69.3,139.9,23.14,79,93,15.84
San Fernando,PH,15.03,120.69,79.99,75,88,2.24
Shangqiu,CN,34.45,115.65,44.15,0,58,11.12
Atar,MR,20.52,-13.05,85.01,0,17,8.08
Cairns,AU,-16.92,145.77,70.83,75,88,3.58
Oregon,US,44.0,-120.5,58.87,1,11,18.34
Juneau,US,58.3,-134.42,44.02,20,36,11.41
Mackenzie,CA,55.3,-123.17,33.8,1,29,10.29
Aktash,RU,50.3,87.73,20.03,2,51,4.74
Folkestone,GB,51.08,1.18,56.03,10,71,2.24
Valea Viilor,RO,46.08,24.28,46.2,75,50,10.29
Ovalle,CL,-30.6,-71.2,72.36,95,47,6.85
Stromness,GB,58.97,-3.3,45.75,100,81,20.8
Port Hardy,CA,50.7,-127.42,48.2,20,70,3.36
Fairbanks,US,64.84,-147.72,40.35,1,38,4.05
Oberengstringen,CH,47.41,8.47,53.56,0,57,1.12
Ouésso,CG,1.61,16.05,72.72,100,85,5.77
Canutama,BR,-6.53,-64.38,90.73,65,57,0.47
Magway,MM,20.15,94.92,77.72,43,62,2.93
Orsk,RU,51.2,58.57,33.8,66,100,4.47
Churapcha,RU,62.0,132.43,28.63,100,97,6.6
Hofn,IS,64.25,-15.21,37.26,92,79,20.11
Coahuayana Viejo,MX,18.73,-103.68,86.0,5,48,11.41
Hermanus,ZA,-34.42,19.23,67.39,100,58,15.01
Gornopravdinsk,RU,60.05,69.9,33.84,11,90,5.39
Yangjiang,CN,21.85,111.97,65.14,35,80,11.65
Chekhov,RU,55.14,37.47,30.78,1,83,11.18
Qaanaaq,GL,77.48,-69.36,14.05,91,75,2.35
Ardeşen,TR,41.19,40.99,46.4,75,75,6.93
El Progreso,HN,15.4,-87.8,90.97,75,63,18.34
Christchurch,NZ,-43.53,172.63,61.88,30,63,5.82
Kuito,AO,-12.38,16.93,59.85,43,59,0.92
Kruisfontein,ZA,-34.0,24.73,62.08,89,54,2.26
Waipawa,NZ,-41.41,175.52,60.17,55,72,25.28
Santa Fe,AR,-31.63,-60.7,77.04,2,41,4.0
Yangi Marg`ilon,UZ,40.43,71.72,53.6,90,76,4.7
Tiznit Province,MA,29.58,-9.5,59.23,99,70,3.91
Almaznyy,RU,48.04,40.05,39.2,28,44,8.95
Gävle,SE,60.67,17.14,39.99,100,88,4.0
Tromsø,NO,69.65,18.96,30.97,75,96,23.04
Hambantota,LK,6.12,81.12,80.82,26,81,10.56
Brejo da Madre de Deus,BR,-8.15,-36.37,75.45,77,63,7.38
Lavrentiya,RU,65.58,-171.0,31.35,94,98,11.3
Ostrowiec Świętokrzyski,PL,50.93,21.39,43.92,84,28,1.99
Cidreira,BR,-30.18,-50.21,67.53,4,67,7.14
Fort Nelson,CA,58.81,-122.7,35.6,40,27,5.82
Glenluce,GB,54.88,-4.81,50.0,98,85,2.86
Airai,TL,-8.93,125.41,60.13,98,72,1.01
Vestmanna,FO,62.16,-7.17,44.6,100,93,17.22
Pisco,PE,-13.7,-76.22,73.08,0,30,5.82
Tazovsky,RU,67.47,78.7,33.93,100,95,17.11
